,dt,city.name,weather,main.temp,main.pressure,main.humidity,wind.speed,wind.deg,dis
0,2022-07-23 17:00:00,Longyan,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",36.76000000000005,1008,36,1.97,232,26.55
1,2022-07-23 20:00:00,Longyan,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",31.02000000000004,1008,55,1.19,248,26.55
2,2022-07-23 23:00:00,Longyan,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",26.379999999999995,1009,68,0.19,211,26.55
3,2022-07-24 02:00:00,Longyan,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",25.230000000000018,1009,73,0.52,263,26.55
4,2022-07-24 05:00:00,Longyan,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",24.370000000000005,1009,76,0.66,281,26.55
5,2022-07-24 08:00:00,Longyan,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",29.930000000000007,1009,61,0.79,240,26.55
6,2022-07-24 11:00:00,Longyan,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",35.85000000000002,1008,40,1.61,225,26.55
7,2022-07-24 14:00:00,Longyan,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",37.700000000000045,1007,31,2.7,227,26.55
8,2022-07-24 17:00:00,Longyan,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",36.26000000000005,1006,38,1.57,229,26.55
9,2022-07-24 20:00:00,Longyan,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",28.5,1007,59,0.66,222,26.55
10,2022-07-24 23:00:00,Longyan,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",26.83000000000004,1009,67,0.15,112,26.55
11,2022-07-25 02:00:00,Longyan,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",25.53000000000003,1008,77,0.28,132,26.55
12,2022-07-25 05:00:00,Longyan,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",24.760000000000048,1009,80,0.45,253,26.55
13,2022-07-25 08:00:00,Longyan,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",30.410000000000025,1010,61,0.56,232,26.55
14,2022-07-25 11:00:00,Longyan,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",36.44,1009,41,1.43,206,26.55
15,2022-07-25 14:00:00,Longyan,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",38.170000000000016,1007,33,2.43,216,26.55
16,2022-07-25 17:00:00,Longyan,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",35.53000000000003,1005,42,2.05,221,26.55
